,ApplicantYears,AnnualEarnings,RequestedSum,TrustMetric,WorkDuration,ActiveAccounts,OfferRate,RepayPeriod,DebtFactor,RiskFlag
ApplicantYears,1.0,2.874575474569576e-05,-0.0010233162849399978,0.00026489216182019084,-0.0025292199588685654,-0.0023006972353805835,-0.0016610943120026703,0.0008725185081179883,-0.004561973438527535,-0.1674838273753513
AnnualEarnings,2.874575474569576e-05,1.0,-0.0006614489094214811,-0.0027970262249452323,0.0016898557987021603,-0.0035524398924466722,-0.004746441414116293,-0.002284181868754184,-0.0009536345083152827,-0.10051464012833518
RequestedSum,-0.0010233162849399978,-0.0006614489094214811,1.0,0.0010750546234963628,0.002109637190978139,0.0002927242497733116,-0.0038092630972208622,0.0022434259230870845,0.0016386870909734204,0.08551885891518965
TrustMetric,0.00026489216182019084,-0.0027970262249452323,0.0010750546234963628,1.0,0.0001823866271297461,0.0007945517717574842,-0.000579293875073028,0.00010307928054060864,-0.0019050682426894334,-0.034128154218908115
WorkDuration,-0.0025292199588685654,0.0016898557987021603,0.002109637190978139,0.0001823866271297461,1.0,0.002687383387114313,-0.001697462153310008,-0.0007779575493660068,0.0014350812488356896,-0.09542926880514245
ActiveAccounts,-0.0023006972353805835,-0.0035524398924466722,0.0002927242497733116,0.0007945517717574842,0.002687383387114313,1.0,0.0003741687603896566,0.0001602051184633463,-0.0004315474859918384,0.02856461357313323
OfferRate,-0.0016610943120026703,-0.004746441414116293,-0.0038092630972208622,-0.000579293875073028,-0.001697462153310008,0.0003741687603896566,1.0,0.00021490343006866873,0.0007177329958944248,0.12988461573754675
RepayPeriod,0.0008725185081179883,-0.002284181868754184,0.0022434259230870845,0.00010307928054060864,-0.0007779575493660068,0.0001602051184633463,0.00021490343006866873,1.0,0.0016295811230068633,0.0008151354037019533
DebtFactor,-0.004561973438527535,-0.0009536345083152827,0.0016386870909734204,-0.0019050682426894334,0.0014350812488356896,-0.0004315474859918384,0.0007177329958944248,0.0016295811230068633,1.0,0.01859547355720276
RiskFlag,-0.1674838273753513,-0.10051464012833518,0.08551885891518965,-0.034128154218908115,-0.09542926880514245,0.02856461357313323,0.12988461573754675,0.0008151354037019533,0.01859547355720276,1.0
