trip_id,country,age_group,travel_companions,num_females,num_males,main_activity,visit_purpose,is_first_visit,mainland_stay_nights,island_stay_nights,tour_type,intl_transport_included,info_source,accomodation_included,food_included,domestic_transport_included,sightseeing_included,guide_included,insurance_included,days_booked_before_trip,arrival_weather,total_trip_days,has_special_requirements,spend_category
tour_idftaa27vp,FRANCE,45-64,With Spouse and Children,1.0,2.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,,"cloudy,",30+,,1.0
tour_iduck75m57,KENYA,45-64,Alone,1.0,0.0,Conference Tourism,Meetings and Conference,Yes,6,0,Independent,No,Others,No,No,No,No,No,No,15-30 ,"sunny,",30+,,2.0
tour_id8y3w40h8,SOUTH AFRICA,25-44,With Other Friends/Relatives,2.0,0.0,Cultural Tourism,Meetings and Conference,No,4,2,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,"sunny,",30+,none,2.0
tour_idkoh8mkgr,ITALY,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,0,7,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,8-14,,,none,0.0
tour_idkmsfa00a,ITALY,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,No,No,No,No,90+,"sunny,",7-14,,0.0
tour_iddnhwsw72,ZIMBABWE,25-44,With Other Friends/Relatives,0.0,2.0,Wildlife Tourism,Business,Yes,2,0,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,,"sunny,",7-14,none,1.0
tour_iddge8fz8p,INDIA,25-44,With Spouse,1.0,1.0,Hunting Tourism,Business,No,5,2,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,"sunny,",30+,none,0.0
tour_ida5537syq,KENYA,45-64,Alone,0.0,1.0,Conference Tourism,Meetings and Conference,No,1,0,Independent,No,Others,No,No,No,No,No,No,90+,"cloudy,",7-14,none,2.0
tour_idhagcpzkz,AUSTRIA,18-24,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,20,10,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,,other,7-14,none,0.0
tour_idp9abcjpc,KENYA,25-44,,0.0,1.0,Beach Tourism,Other,No,3,1,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,"sunny,",1-6,,1.0
tour_idj54n0wkr,ITALY,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,5,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,61-90,,15-30,"wheelchair,",1.0
tour_idi1ibn3hi,UNITED STATES OF AMERICA,45-64,Alone,0.0,1.0,Hunting Tourism,Scientific and Academic,Yes,10,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,,30+,none,1.0
tour_idw8uabmzb,GERMANY,45-64,With Other Friends/Relatives,3.0,2.0,Hunting Tourism,Visiting Friends and Relatives,Yes,7,0,Independent,No,"Friends, relatives",No,No,No,No,No,,61-90,Rainy,7-14,,2.0
tour_id4u02pemr,ITALY,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,No,No,No,No,15-30 ,other,1-6,"wheelchair,",0.0
tour_idxb2dd1sv,ITALY,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Friends, relatives",Yes,Yes,Yes,No,No,No,31-60,"sunny,",30+,,0.0
tour_idscllpvy9,UNITED STATES OF AMERICA,45-64,With Other Friends/Relatives,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,18,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,90+,"sunny,",7-14,"dietary needs,",0.0
tour_idc8ch5zu3,UNITED KINGDOM,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,5,4,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,No,61-90,,1-6,,0.0
tour_idyfl3yk7l,SWEDEN,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,7,0,Package Tour,Yes,"Travel agent, tour operator",No,Yes,Yes,Yes,Yes,No,61-90,"Windy,",7-14,none,0.0
tour_id9tv5qvw4,SPAIN,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,5,3,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,,,humid,1-6,none,1.0
tour_idweujd1m8,FRANCE,25-44,,1.0,0.0,Conference Tourism,Leisure and Holidays,Yes,6,2,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,90+,humid,30+,,1.0
