trip_id,spend_category
tour_id8gzpck76,1
tour_idow1zxkou,0
tour_idue7esfqz,0
tour_idnj3mjzpb,0
tour_ida3us5yk2,1
tour_id2qpfclyc,2
tour_idope4voz1,0
tour_iddyjku73v,1
tour_idlu2iemeg,0
tour_idw5htzhxs,2
tour_idk1bdp2w3,2
tour_idv0pkp6xz,1
tour_id9cuaatn3,2
tour_idip5dj7j8,1
tour_idtigx2yg3,0
tour_idqn54xcjb,1
tour_id7ne9w12t,1
tour_id987j1kl8,2
tour_idcw8guien,0
tour_idnwtdgecx,0
tour_idb9zgvnml,1
tour_idhy041qx1,2
tour_idax15uztz,2
tour_id5lahxrsf,1
tour_idajmecl6o,0
tour_id8c0xghj3,0
tour_id8v5sy8tb,0
tour_idvt8i5dd5,1
tour_iduj1vtjrv,0
tour_idbw5my5ga,0
tour_idxqlhttlz,2
tour_idpwk2txl1,1
tour_ido36lagz3,1
tour_idcb6zngb7,0
tour_idobhibo3n,1
tour_idcjey54wb,0
tour_idu0k6xrij,1
tour_id2hp9lcrf,1
tour_id4mmwnwdm,1
tour_idr6gbihn9,0
tour_idjs6tkbhr,0
tour_idyglsrdz9,0
tour_idh63q7w93,2
tour_idrcjabqej,2
tour_idjyll1uc3,2
tour_idwd2f0w8p,0
tour_idahm5vdbw,0
tour_idsi0xo4j7,2
tour_iddh9du2gq,0
tour_idqtpx6ph3,1
tour_ida49lgjru,1
tour_idhfxq85jd,0
tour_idklvy0gf0,1
tour_idqj9seh5n,1
tour_id4fi2gtql,2
tour_idz14zu84j,0
tour_idn78zbsl4,0
tour_idejb668pb,0
tour_id2jxu7jd7,1
tour_idnxjcfd93,1
tour_idvwv9ryuk,0
tour_idd0csx921,1
tour_id4kaotb95,1
tour_idzquqqnru,0
tour_idrl09vg3m,0
tour_idduw1i9mt,2
tour_idm3wtwwcg,1
tour_idi8um1uau,2
tour_id78fn6q5l,0
tour_id55guu804,0
tour_idkhqpuxuu,0
tour_ids0skzu6g,2
tour_idhjb9a02g,1
tour_idz32plc3e,0
tour_id4fn5iy2n,1
tour_idrg8t9q5r,0
tour_idxz6nhnbj,1
tour_id5m41j20c,0
tour_idr3l9zut3,1
tour_idtx6fbbhr,0
tour_idpyjkgic3,1
tour_id1frl9q23,0
tour_idfnlyf79h,0
tour_id171ntnop,1
tour_idz0o2kcg5,2
tour_idernn8vic,1
tour_idek8blvwf,2
tour_ids39m20e6,0
tour_idcwuqsjna,0
tour_id01mm1csh,0
tour_idyguobzhj,1
tour_id056efenf,0
tour_iddlqa2v2j,0
tour_idp0fgece5,1
tour_id4trpn35m,0
tour_ids3qyn9av,0
tour_idrxq7tq6y,1
tour_idozwurs5e,1
tour_idcq0olegp,2
tour_idlf69injr,0
tour_id95t80ggn,1
tour_id52162xn5,0
tour_id83gg3rkd,2
tour_idhjex3gdx,1
tour_id64te4ok9,2
tour_idlg82wfnx,1
tour_ideoubok42,1
tour_idq0ew8lpb,1
tour_id8kz8hiw3,0
tour_idlpucam3m,0
tour_idwkxlwwxd,2
tour_id5tu7xd37,2
tour_idg4a82pwu,0
tour_id8pyu5cw0,0
tour_id913dmb9e,1
tour_idlf91vxdq,2
tour_ide9bw7q3m,2
tour_id0zcye0ie,1
tour_idxq5qb8pk,0
tour_idoe06gv33,1
tour_id0m7h5w4c,1
tour_id1ilu4x6y,0
tour_idfd1cfnvc,1
tour_idp65x1o2p,0
tour_idbyre3ggu,0
tour_idwge1ywnm,1
tour_idbaih9akd,1
tour_idpiyziv6c,0
tour_idfa67aubw,0
tour_idut40p3ju,2
tour_id3gyi43i3,1
tour_ido70diyo7,1
tour_idj7p8lyl5,0
tour_idc1yqv6mc,2
tour_idv5argz4a,2
tour_id1kcictxh,1
tour_id8hm33zjn,1
tour_id3rgu3jqg,1
tour_idlmtiby55,1
tour_id19zcr8fx,0
tour_id5q0rwtpg,1
tour_idp9fl4flv,0
tour_idqczk07hz,0
tour_idqy5zkxj2,1
tour_idwk0x8q1c,0
tour_idnpfk68kj,2
tour_idqxqibyza,1
tour_id75yvct80,0
tour_idkopni10y,0
tour_id6ipept16,0
tour_idfxwf6e6c,1
tour_idit88z334,2
tour_iddoa8albk,1
tour_idbq8bfgve,0
tour_id0pz8n5j8,1
tour_id9v0y5d4s,0
tour_idcs8sqnxo,2
tour_iduso1eu3z,1
tour_idoem5jfs5,1
tour_idd36qyjf7,2
tour_id97qte19y,1
tour_idpumnx9zf,0
tour_idw3ymkfn7,2
tour_id3cjknlah,0
tour_idm81th8pf,1
tour_idam4wgs43,1
tour_idlpgl3ddh,2
tour_idq0gvhahv,2
tour_idduaevqff,0
tour_idc0u2xk32,1
tour_idp2aapit9,0
tour_id6a10rjep,2
tour_idk1q9exyb,2
tour_idg4a1qpr5,2
tour_idjk8lkndp,2
tour_ide4arnhj4,2
tour_idu8w1fiin,0
tour_id2eroexzk,2
tour_id0hvkpfl7,0
tour_idzmdj54pt,0
tour_ido48mujc6,1
tour_idbzywzp7k,0
tour_idtmxp9tml,1
tour_idyl0xzvzm,1
tour_idiprd1gg8,1
tour_id3ftuxb1v,0
tour_idd5jhapi1,1
tour_idloniyam4,1
tour_idvloxjl94,0
tour_idh2e49nu6,1
tour_iduao754bo,2
tour_iduu9gknf7,2
tour_idnsmuiacp,0
tour_id0mpg02k5,1
tour_idezym17r6,0
tour_id41gmw10l,0
tour_idgippbuxo,2
tour_iddwofaiwz,0
tour_id9jl7d09x,0
tour_idtgvtcvrb,1
